Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
100,Michael Clayton,TAM,26,WR,15,9,61,38,62.3%,484,12.7,1,21,45.9,58,7.9,2.5,32.3,1,ClayMi00
101,Jabar Gaffney,NWE,28,WR,16,7,65,38,58.5%,468,12.3,2,26,52.3,37,7.2,2.4,29.3,0,GaffJa00
102,Fred Jackson,BUF,27,RB,16,3,45,37,82.2%,317,8.6,0,12,44.4,65,7.0,2.3,19.8,3,JackFr02
103,L.J. Smith,PHI,28,TE,13,12,64,37,57.8%,298,8.1,3,16,43.8,25,4.7,2.8,22.9,0,SmitL.00
104,Reggie Williams,JAX,25,WR,16,11,63,37,58.7%,364,9.8,3,22,54.0,32,5.8,2.3,22.8,0,WillRe00
105,Thomas Jones*,NYJ,30,RB,16,14,42,36,85.7%,207,5.8,2,13,57.1,19,4.9,2.3,12.9,2,JoneTh00
106,Jerious Norwood,ATL,25,RB,16,0,54,36,66.7%,338,9.4,2,12,33.3,67,6.3,2.3,21.1,2,NorwJe00
107,Jerramy Stevens,TAM,29,TE,14,3,59,36,61.0%,397,11.0,2,17,45.8,31,6.7,2.6,28.4,0,StevJe00
108,Roy Williams,2TM,27,WR,15,11,39,36,92.3%,430,11.9,2,28,43.6,38,11.0,2.4,28.7,0,WillRo04
109,Plaxico Burress,NYG,31,WR,10,9,66,35,53.0%,454,13.0,4,24,50.0,33,6.9,3.5,45.4,0,BurrPl00
110,Rashied Davis,CHI,29,WR,16,12,67,35,52.2%,445,12.7,2,21,47.8,36,6.6,2.2,27.8,0,DaviRa00
111,Todd Heap,BAL,28,TE,16,16,64,35,54.7%,403,11.5,3,23,45.3,30,6.3,2.2,25.2,1,HeapTo00
112,Shaun McDonald,DET,27,WR,12,7,67,35,52.2%,332,9.5,1,18,44.8,26,5.0,2.9,27.7,2,McDoSh00
113,Anthony Fasano,MIA,24,TE,16,16,53,34,64.2%,454,13.4,7,26,58.5,24,8.6,2.1,28.4,0,FasaAn00
114,Justin Gage,TEN,27,WR,12,11,74,34,45.9%,651,19.1,6,28,44.6,56,8.8,2.8,54.3,0,GageJu00
115,Tim Hightower,ARI,22,RB,16,7,50,34,68.0%,237,7.0,0,11,38.0,26,4.7,2.1,14.8,2,HighTi00
116,Jerheme Urban,ARI,28,WR,16,2,51,34,66.7%,448,13.2,4,20,49.0,56,8.8,2.1,28.0,0,UrbaJe00
117,Hank Baskett,PHI,26,WR,15,6,52,33,63.5%,440,13.3,3,22,55.8,90,8.5,2.2,29.3,1,BaskHa00
118,Kevin Boss,NYG,24,TE,15,15,55,33,60.0%,384,11.6,6,20,50.9,28,7.0,2.2,25.6,0,BossKe00
119,Ronnie Brown*,MIA,27,RB,16,13,43,33,76.7%,254,7.7,0,12,44.2,39,5.9,2.1,15.9,1,BrowRo05
120,Chris Chambers,SDG,30,WR,14,9,65,33,50.8%,462,14.0,5,21,44.6,48,7.1,2.4,33.0,0,ChamCh00
121,Kevin Curtis,PHI,30,WR,9,8,63,33,52.4%,390,11.8,2,19,46.0,32,6.2,3.7,43.3,0,CurtKe00
122,Jordy Nelson,GNB,23,WR,16,2,54,33,61.1%,366,11.1,2,19,50.0,29,6.8,2.1,22.9,0,NelsJo00
123,Ray Rice,BAL,21,RB,13,4,43,33,76.7%,273,8.3,0,12,48.8,40,6.3,2.5,21.0,1,RiceRa00
124,Robert Royal,BUF,29,TE,15,7,57,33,57.9%,351,10.6,1,14,45.6,30,6.2,2.2,23.4,2,RoyaRo00
125,Jason Avant,PHI,25,WR,15,6,57,32,56.1%,377,11.8,2,22,45.6,31,6.6,2.1,25.1,0,AvanJa00
126,Daniel Graham,DEN,30,TE,16,16,50,32,64.0%,389,12.2,4,20,50.0,28,7.8,2.0,24.3,0,GrahDa00
127,Devery Henderson,NOR,26,WR,16,13,56,32,57.1%,793,24.8,3,27,53.6,84,14.2,2.0,49.6,1,HendDe00
128,Chansi Stuckey,NYJ,25,WR,15,2,45,32,71.1%,359,11.2,3,22,66.7,31,8.0,2.1,23.9,0,StucCh20
129,Vernon Davis,SFO,24,TE,16,16,49,31,63.3%,358,11.5,2,14,38.8,57,7.3,1.9,22.4,2,DaviVe00
130,Reggie Kelly,CIN,31,TE,16,15,42,31,73.8%,207,6.7,0,5,42.9,31,4.9,1.9,12.9,0,KellRe00
131,David Martin,MIA,29,TE,16,7,45,31,68.9%,450,14.5,3,20,62.2,61,10.0,1.9,28.1,1,MartDa00
132,Koren Robinson,SEA,28,WR,12,12,58,31,53.4%,400,12.9,2,21,41.4,90,6.9,2.6,33.3,0,RobiKo00
133,Pierre Thomas,NOR,24,RB,15,5,41,31,75.6%,284,9.2,3,15,61.0,24,6.9,2.1,18.9,1,ThomPi00
134,Mark Bradley,2TM,26,WR,12,8,63,30,47.6%,380,12.7,3,28,39.7,56,6.0,2.5,31.7,0,BradMa00
135,Deion Branch,SEA,29,WR,8,8,59,30,50.8%,412,13.7,4,17,44.1,63,7.0,3.8,51.5,0,BranDe00
136,Jason Hill,SFO,23,WR,16,2,40,30,75.0%,317,10.6,2,20,62.5,33,7.9,1.9,19.8,1,HillJa00
137,Brandon Jackson,GNB,23,RB,13,0,39,30,76.9%,185,6.2,0,6,33.3,18,4.7,2.3,14.2,1,JackBr00
138,Justin McCareins,TEN,30,WR,14,10,72,30,41.7%,412,13.7,0,22,37.5,37,5.7,2.1,29.4,2,McCaJu00
139,J.J. Arrington,ARI,25,RB,11,3,40,29,72.5%,255,8.8,1,15,55.0,35,6.4,2.6,23.2,0,ArriJ.00
140,Darren McFadden,OAK,21,RB,13,5,39,29,74.4%,285,9.8,0,13,51.3,27,7.3,2.2,21.9,3,McFaDa00
141,Darren Sproles,SDG,25,RB,16,0,34,29,85.3%,342,11.8,5,14,67.6,66,10.1,1.8,21.4,3,SproDa00
142,Ricky Williams,MIA,31,RB,16,3,39,29,74.4%,219,7.6,1,10,38.5,47,5.6,1.8,13.7,5,WillRi00
143,Clinton Portis*,WAS,27,RB,16,16,35,28,80.0%,218,7.8,0,11,48.6,29,6.2,1.8,13.6,3,PortCl00
144,Brent Celek,PHI,23,TE,16,7,38,27,71.1%,318,11.8,1,16,63.2,44,8.4,1.7,19.9,0,CeleBr00
145,Jamaal Charles,KAN,22,RB,16,2,39,27,69.2%,272,10.1,1,9,25.6,75,7.0,1.7,17.0,2,CharJa00
146,Malcom Floyd,SDG,27,WR,13,2,37,27,73.0%,465,17.2,4,21,67.6,49,12.6,2.1,35.8,0,FloyMa00
147,Correll Buckhalter,PHI,30,RB,14,2,32,26,81.3%,324,12.5,2,15,65.6,59,10.1,1.9,23.1,0,BuckCo00
148,Brandon Lloyd,CHI,27,WR,11,5,50,26,52.0%,364,14.0,2,17,50.0,32,7.3,2.4,33.1,0,LloyBr00
149,Joseph Addai,IND,25,RB,12,12,39,25,64.1%,206,8.2,2,9,38.5,55,5.3,2.1,17.2,1,AddaJo00
150,Arnaz Battle,SFO,28,WR,9,0,42,24,57.1%,318,13.3,0,18,47.6,36,7.6,2.7,35.3,1,BattAr00
151,Alge Crumpler,TEN,31,TE,15,15,41,24,58.5%,257,10.7,1,11,56.1,28,6.3,1.6,17.1,1,CrumAl00
152,Willis McGahee,BAL,27,RB,13,8,32,24,75.0%,173,7.2,0,8,37.5,35,5.4,1.8,13.3,3,McGaWi00
153,Roscoe Parrish,BUF,26,WR,13,1,45,24,53.3%,232,9.7,1,16,40.0,22,5.2,1.8,17.8,2,ParrRo00
154,Harry Douglas,ATL,24,WR,16,0,39,23,59.0%,320,13.9,1,13,41.0,69,8.2,1.4,20.0,1,DougHa00
155,Michael Gaines,DET,28,TE,16,6,36,23,63.9%,260,11.3,1,13,50.0,33,7.2,1.4,16.3,3,GainMi00
156,Earnest Graham,TAM,28,RB,10,10,33,23,69.7%,174,7.6,0,6,45.5,24,5.3,2.3,17.4,2,GrahEa00
157,Steve Heiden,CLE,32,TE,14,11,42,23,54.8%,249,10.8,0,14,45.2,51,5.9,1.6,17.8,0,HeidSt00
158,Jamal Lewis,CLE,29,RB,16,16,32,23,71.9%,178,7.7,0,8,50.0,18,5.6,1.4,11.1,2,LewiJa00
159,Dane Looker,STL,32,WR,13,6,47,23,48.9%,271,11.8,2,11,42.6,30,5.8,1.8,20.8,2,LookDa00
160,Ladell Betts,WAS,29,RB,13,0,35,22,62.9%,200,9.1,0,5,31.4,27,5.7,1.7,15.4,1,BettLa00
161,Johnnie Lee Higgins,OAK,25,WR,16,3,42,22,52.4%,366,16.6,4,13,38.1,84,8.7,1.4,22.9,1,HiggJo00
162,Ben Watson,NWE,28,TE,14,9,47,22,46.8%,209,9.5,2,12,40.4,29,4.4,1.6,14.9,1,WatsBe00
163,DeAngelo Williams,CAR,25,RB,16,16,30,22,73.3%,121,5.5,2,8,26.7,25,4.0,1.4,7.6,0,WillDe02
164,Jason Wright,CLE,26,RB,15,0,37,22,59.5%,156,7.1,1,8,35.1,17,4.2,1.5,10.4,1,WrigJa01
165,Chris Baker,NYJ,29,TE,16,13,30,21,70.0%,194,9.2,0,11,53.3,29,6.5,1.3,12.1,0,BakeCh00
166,Antonio Chatman,CIN,29,WR,10,1,31,21,67.7%,194,9.2,0,10,45.2,25,6.3,2.1,19.4,1,ChatAn00
167,Tashard Choice,DAL,24,RB,16,3,30,21,70.0%,185,8.8,0,6,46.7,50,6.2,1.3,11.6,0,ChoiTa00
168,Brian Finneran,ATL,32,WR,16,0,36,21,58.3%,169,8.0,1,14,44.4,14,4.7,1.3,10.6,1,FinnBr00
169,Jeff King,CAR,25,TE,16,15,34,21,61.8%,195,9.3,1,8,38.2,31,5.7,1.3,12.2,0,KingJe00
170,Adrian Peterson*+,MIN,23,RB,16,15,39,21,53.8%,125,6.0,0,4,25.6,16,3.2,1.3,7.8,9,PeteAd01
171,Alex Smith,TAM,26,TE,14,12,38,21,55.3%,250,11.9,3,15,50.0,34,6.6,1.5,17.9,0,SmitAl02
172,Martellus Bennett,DAL,21,TE,16,7,27,20,74.1%,283,14.2,4,12,66.7,37,10.5,1.3,17.7,0,BennMa00
173,Cedric Benson,CIN,26,RB,12,10,26,20,76.9%,185,9.3,0,6,38.5,79,7.1,1.7,15.4,2,BensCe00
174,James Jones,GNB,24,WR,10,2,30,20,66.7%,274,13.7,1,16,56.7,46,9.1,2.0,27.4,0,JoneJa04
175,Josh Morgan,SFO,23,WR,12,1,43,20,46.5%,319,16.0,3,13,39.5,48,7.4,1.7,26.6,0,MorgJo00
176,Chris Perry,CIN,27,RB,13,6,34,20,58.8%,71,3.6,0,5,20.6,12,2.1,1.5,5.5,5,PerrCh00
177,Leonard Weaver,SEA,26,FB,14,7,32,20,62.5%,222,11.1,2,6,31.3,62,6.9,1.4,15.9,1,WeavLe00
178,David Anderson,HOU,25,WR,16,1,29,19,65.5%,241,12.7,2,13,51.7,65,8.3,1.2,15.1,0,AndeDa01
179,Michael Bush,OAK,24,RB,15,0,30,19,63.3%,162,8.5,0,6,46.7,25,5.4,1.3,10.8,1,BushMi00
180,Patrick Cobbs,MIA,25,RB,16,2,27,19,70.4%,275,14.5,2,11,55.6,80,10.2,1.2,17.2,0,CobbPa00
181,Ronald Curry,OAK,29,WR,13,10,48,19,39.6%,181,9.5,2,14,31.3,16,3.8,1.5,13.9,0,CurrRo01
182,Kenneth Darby,STL,26,RB,10,0,21,19,90.5%,183,9.6,0,8,66.7,30,8.7,1.9,18.3,1,DarbKe00
183,Chris Henry,CIN,25,WR,12,1,46,19,41.3%,220,11.6,2,12,37.0,22,4.8,1.6,18.3,0,HenrCh00
184,Greg Lewis,PHI,28,WR,16,0,35,19,54.3%,247,13.0,1,13,51.4,52,7.1,1.2,15.4,0,LewiGr01
185,Le'Ron McClain*+,BAL,24,FB,16,16,30,19,63.3%,123,6.5,1,7,26.7,25,4.1,1.2,7.7,4,McClLe00
186,Maurice Morris,SEA,29,RB,13,6,27,19,70.4%,136,7.2,2,5,55.6,13,5.0,1.5,10.5,1,MorrMa00
187,Gijon Robinson,IND,24,TE,15,14,24,19,79.2%,166,8.7,0,5,54.2,23,6.9,1.3,11.1,0,RobiGi21
188,Syndric Steptoe,CLE,24,WR,16,5,41,19,46.3%,182,9.6,0,8,31.7,53,4.4,1.2,11.4,1,StepSy20
189,Reggie Brown,PHI,27,WR,10,3,35,18,51.4%,252,14.0,1,11,48.6,40,7.2,1.8,25.2,0,BrowRe01
190,Mike Furrey,DET,31,WR,9,2,35,18,51.4%,181,10.1,0,10,40.0,25,5.2,2.0,20.1,1,FurrMi00
191,Ryan Grant,GNB,26,RB,16,14,22,18,81.8%,116,6.4,1,3,45.5,17,5.3,1.1,7.3,4,GranRy00
192,Deuce McAllister,NOR,30,RB,13,6,23,18,78.3%,128,7.1,1,5,52.2,20,5.6,1.4,9.8,0,McAlDe00
193,Antonio Pittman,STL,23,FB,12,5,27,18,66.7%,132,7.3,0,5,40.7,27,4.9,1.5,11.0,1,PittAn00
194,Dante Rosario,CAR,24,TE,16,6,31,18,58.1%,209,11.6,1,11,58.1,24,6.7,1.1,13.1,0,RosaDa00
195,Devard Darling,KAN,26,WR,16,9,33,17,51.5%,247,14.5,1,8,42.4,68,7.5,1.1,15.4,0,DarlDe00
196,Sammy Morris,NWE,31,RB,13,7,24,17,70.8%,161,9.5,0,5,54.2,42,6.7,1.3,12.4,1,MorrSa00
197,Michael Robinson,SFO,25,WR,16,1,20,17,85.0%,202,11.9,0,9,65.0,36,10.1,1.1,12.6,1,RobiMi00
198,Matt Spaeth,PIT,25,TE,16,13,26,17,65.4%,136,8.0,0,6,53.8,13,5.2,1.1,8.5,0,SpaeMa00
