NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"Cooper Kupp","LAR",1,"","","","","32%","38%","24%","31%","25%","","3%","15%","22%","24%","24%","35%","18%","",95,7.9,16.3,59,62.1,5
"Christian Watson","GB",1,"","","","11%","23%","","16%","20%","8%","18%","10%","22%","25%","","","","","",53,5.9,9.1,28,52.8,5
"Dyami Brown","WAS",2,"","8%","3%","7%","6%","4%","","","9%","5%","7%","2%","4%","","3%","","","",23,1.4,3.6,12,52.2,1
"Dan Chisena","ARI",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"D.J. Montgomery","IND",2,"","","","","","","","","","","","","","","14%","11%","","",8,1.1,1.4,3,37.5,1
"Darnell Mooney","CHI",1,"19%","","5%","11%","14%","12%","17%","11%","20%","12%","4%","8%","","21%","20%","15%","","",61,4.1,11.9,31,50.8,1
"Demarcus Robinson","LAR",2,"","","","","","","","","4%","","6%","6%","14%","24%","9%","18%","29%","",39,2.4,6.7,26,66.7,4
"DeVonta Smith","PHI",1,"30%","22%","14%","24%","13%","24%","16%","18%","13%","","36%","26%","23%","36%","16%","13%","21%","",112,7,19.9,81,72.3,7
"DJ Turner","OAK",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Dareke Young","SEA",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Elijah Cooks","JAX",2,"","","","","","","","","","","","","","","2%","7%","","",4,0.4,0.6,3,75,
"Elijah Moore","CLE",1,"24%","22%","27%","11%","","21%","19%","16%","7%","20%","16%","21%","27%","13%","7%","9%","21%","",104,6.1,16.7,59,56.7,2
"Gunner Olszewski","NYG",1,"","3%","","","","","","","","","","","","","","","","",1,0.1,0.2,1,100,
"George Pickens","PIT",1,"15%","33%","21%","25%","31%","","32%","12%","17%","17%","21%","15%","19%","17%","27%","22%","38%","",106,6.2,20.9,63,59.4,5
"Hunter Renfrow","OAK",1,"","4%","5%","10%","6%","","7%","19%","12%","4%","12%","12%","","16%","6%","5%","","",37,2.2,6.6,25,67.6,
"Jalen Guyton","LAC",2,"","","","","","","","","7%","15%","","11%","8%","2%","6%","6%","","",21,2.6,3.3,10,47.6,1
"Jauan Jennings","SF",1,"3%","12%","8%","","4%","15%","30%","","","7%","4%","6%","15%","4%","7%","","","",33,2.5,6.7,19,57.6,1
"Johnny Johnson III","HOU",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jaylen Waddle","MIA",1,"11%","20%","","14%","33%","28%","19%","27%","18%","","21%","27%","32%","24%","35%","11%","","",104,7.4,18.4,72,69.2,4
"Jameson Williams","DET",1,"","","","","11%","7%","11%","8%","","6%","9%","7%","4%","3%","21%","15%","9%","",41,3.5,6.9,24,57.1,2
"Juwann Winfree","IND",2,"","","","","","","","2%","","","","","","","","","","",1,0.1,0.2,0,0,
"Keenan Allen","LAC",1,"27%","24%","42%","21%","","30%","30%","25%","30%","35%","44%","36%","24%","29%","","","","",150,11.5,23.7,108,72,7
"Kayshon Boutte","NE",2,"7%","","","","","","","","","4%","","6%","","","","","","",7,1.4,1.3,2,28.6,
"Keith Kirkwood","NO",2,"3%","3%","3%","","4%","","","","","","","8%","","","3%","2%","","",9,0.7,1.5,5,55.6,1
"Kadarius Toney","KC",2,"13%","12%","3%","7%","15%","15%","2%","3%","3%","","5%","","","9%","11%","","","",38,2.9,6,27,71.1,1
"KaVontae Turpin","DAL",1,"12%","3%","","3%","4%","","","6%","2%","","7%","3%","7%","3%","","3%","","",18,1.1,2.9,12,66.7,3
"Lucky Jackson","MIN",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Michael Bandy","DEN",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Miles Boykin","PIT",2,"","3%","","","3%","","","","3%","","","","","","","4%","","",4,0.2,0.8,3,75,
"Marquise Goodwin","CLE",2,"7%","5%","","3%","","6%","5%","","7%","","","","","","2%","2%","","",13,1.1,2.1,4,30.8,
"Mack Hollins","ATL",3,"22%","19%","11%","10%","5%","9%","","9%","8%","","","","","2%","","","","",30,2.3,5.7,18,60,
"Mason Kinsey","TEN",2,"","","","","","","","","","","","","","","","4%","","",1,0.2,0.2,1,100,
"Matthew Slater","NE",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Mike Strachan","CAR",1,"","","","","","","","","","5%","","","3%","","","","","",3,0.8,0.5,1,33.3,
"Mitchell Tinsley","WAS",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Marquez Valdes-Scantling","KC",1,"5%","7%","5%","7%","5%","2%","12%","11%","10%","","7%","3%","15%","9%","3%","2%","10%","",42,2.6,6.6,21,50,1
"Noah Brown","HOU",5,"9%","","","","","19%","","21%","14%","21%","","","7%","18%","31%","14%","6%","",55,5.5,9.3,33,60,2
