Hayden Hurst|2022,Hayden Hurst,CIN,CIN|2022,2022,100.0,20,8.3,18,2.1,29,5,12,75.0%,497,41.4,60.2%,355,26.8%,63,2,11,48,7,400,333,176,509,2,22,0,0,5,1,0,29.6,5.3,4.0,33.3,5.3,14.7,42.4,0.17,1.8,0.4,0.18,1.10,0.94,14.4%,76.0%,3.2%,63.6%,8.3,200.0,0.90,11.1%,5.3,-0.10,4.2%,9.7%,29.40%,1.20,19.4,98.6,68.5,1.6%,6.01,3.87,825,444,308,1211,12,344,436,3491,3004,25,48,400,2,0,5,0.48,19.4,0.40,0,4.0,33.3,0.17,0.4,10.4%,1.62,226.8,1,8.3%,5,41.7%,9,75.0%,0,0,2,0.0%,0.0%,40.0%,2018,1,25
Hunter Henry|2022,Hunter Henry,NE,NE|2022,2022,93.7,21,5.9,32,2.7,27,7,16,100.0%,729,45.6,74.1%,383,43.5%,52,6,9,35,4,467,402,191,593,2,21,0,0,2,3,0,23.9,3.3,2.2,29.2,7.7,11.9,37.1,0.13,1.3,0.1,0.14,1.20,1.05,10.8%,67.0%,11.5%,44.4%,13.3,233.5,0.93,10.5%,7.7,0.01,5.7%,12.8%,23.60%,1.16,13.1,112.7,60.4,5.8%,5.68,3.87,984,500,402,1725,12,458,481,3572,3787,16,35,467,2,0,2,0.47,13.1,0.37,0,2.2,29.2,0.13,0.1,5.7%,0.82,146.5,1,6.3%,4,25.0%,6,37.5%,0,4,6,0.0%,57.1%,85.7%,2016,2,35
Cade Otton|2022,Cade Otton,TB,TB|2022,2022,91.6,22,6.5,27,2.2,23,1,14,87.5%,754,53.9,72.9%,457,0.482,64,2,6,41,1,386,315,174,489,2,18,0,0,2,3,0,32.6,4.6,2.9,27.6,4.9,12.4,34.9,0.14,1.3,0.1,0.14,0.80,0.69,10.3%,0.64,0.031,0.167,9.4,193.0,0.60,7.5%,4.9,0.47,0.049,9.2%,20.60%,1.23,3.9,93.9,54.7,0.047,6.22,3.16,1034,648,319,1036,5,425,624,4127,4227,22,41,386,2,0,2,0.37,3.9,0.10,0,2.9,27.6,0.14,0.1,0.049,0.28,-,2,14.3%,4,28.6%,6,42.9%,0,0,1,0.0%,0.0%,100.0%,2022,4,106
Jordan Akins|2022,Jordan Akins,HOU,HOU|2022,2022,91.5,23,6.5,29,2.8,30,5,14,87.5%,371,26.5,42.9%,272,41.5%,46,3,8,33,5,425,277,246,523,3,20,1,1,5,1,0,19.4,3.3,2.4,30.4,6.0,17.6,37.4,0.21,1.4,0.4,0.17,1.60,1.02,10.3%,72.0%,6.5%,62.5%,12.9,141.7,0.92,8.7%,6.0,1.79,0.091,17.3%,21.50%,1.53,19.4,121.0,71.0,2.2%,5.85,3.21,865,464,329,1260,7,382,446,2914,3197,15,33,425,3,0,5,0.49,19.4,0.59,0,2.4,30.4,0.21,0.4,0.152,1.39,-,0,0.0%,4,28.6%,7,50.0%,0,0,1,0.0%,0.0%,20.0%,2018,3,98
Austin Hooper|2022,Austin Hooper,TEN,TEN|2022,2022,89.6,24,5.6,35,2.4,27,7,16,100.0%,491,30.7,51.1%,301,52.6%,56,4,14,37,8,406,443,126,569,2,24,0,0,4,1,0,18.8,3.5,2.3,25.4,7.9,7.9,35.6,0.13,1.5,0.3,0.19,1.30,1.47,13.6%,66.0%,7.1%,57.1%,11.0,203.0,0.95,13.9%,7.9,0.18,5.4%,13.3%,30.10%,0.92,19.1,106.7,71.8,1.8%,5.85,2.66,960,427,448,1984,16,463,413,3048,3152,15,37,406,2,0,4,0.42,19.1,0.52,0,2.3,25.4,0.13,0.3,10.8%,1.19,204.8,1,6.3%,2,12.5%,7,43.8%,0,2,6,0.0%,28.6%,85.7%,2016,3,81
Mike Gesicki|2022,Mike Gesicki,MIA,MIA|2022,2022,89.6,24,5.6,35,3.2,26,5,16,100.0%,453,28.3,45.7%,332,50.9%,46,7,7,28,1,316,429,85,514,5,18,0,0,1,2,0,20.8,2.9,1.8,19.8,9.3,5.3,32.1,0.31,1.1,0.1,0.14,1.00,1.29,8.6%,61.0%,15.2%,14.3%,11.3,63.2,0.57,8.5%,9.3,-0.74,0.179,11.8%,18.80%,0.74,3.5,101.7,59.9,4.3%,6.20,3.08,992,553,358,1524,12,397,537,4613,5044,30,28,316,5,0,1,0.32,3.5,0.13,0,1.8,19.8,0.31,0.1,0.036,0.22,112.3,2,12.5%,3,18.8%,5,31.3%,0,3,4,0.0%,60.0%,80.0%,2018,2,42
Will Dissly|2022,Will Dissly,SEA,SEA|2022,2022,86.9,26,5.8,33,2.6,26,5,15,93.8%,569,37.9,59.8%,254,20.8%,38,1,3,34,2,349,206,184,390,3,20,0,0,4,2,0,16.9,2.5,2.3,23.3,5.4,12.3,26.0,0.20,1.3,0.3,0.15,1.40,0.81,7.7%,89.0%,2.6%,66.7%,10.3,116.3,0.68,5.5%,5.4,-,8.8%,10.0%,15.30%,1.69,26.4,131.3,70.8,5.3%,-,-,951,513,351,1647,12,366,496,3886,3750,27,34,349,3,0,4,0.37,26.4,0.78,0,2.3,23.3,0.20,0.3,11.8%,1.76,-,1,6.7%,3,20.0%,7,46.7%,0,0,0,0.0%,0.0%,0.0%,2018,4,120
Greg Dulcich|2022,Greg Dulcich,DEN,DEN|2022,2022,86.1,27,8.6,17,2.6,22,1,10,62.5%,497,49.7,75.0%,316,58.1%,55,13,5,33,2,411,624,155,779,2,18,0,0,3,3,0,31.6,5.5,3.3,41.1,11.3,15.5,77.9,0.20,1.8,0.3,0.17,1.30,1.97,17.2%,60.0%,23.6%,40.0%,12.5,205.5,1.21,22.2%,11.3,0.33,6.1%,19.1%,41.40%,0.66,0.5,78.1,67.6,5.5%,6.52,3.48,663,339,252,1050,6,287,319,2248,2807,10,33,411,2,0,3,0.62,0.5,0.02,0,3.3,41.1,0.20,0.3,9.1%,0.05,194.8,1,10.0%,5,50.0%,7,70.0%,0,0,0,0.0%,0.0%,0.0%,2022,3,80
Foster Moreau|2022,Foster Moreau,LV,LV|2022,2022,85.0,28,6.5,28,2.7,25,4,13,81.3%,699,53.8,83.7%,332,44.4%,54,3,11,32,4,410,434,231,665,2,23,0,0,3,2,0,25.5,4.2,2.5,31.5,8.0,17.8,51.2,0.15,1.8,0.2,0.16,1.20,1.31,12.5%,59.0%,5.6%,36.4%,12.8,205.0,0.91,10.8%,8.0,1.29,0.063,10.7%,26.30%,0.94,7.4,89.8,69.6,3.7%,5.42,3.38,835,449,328,1527,9,386,433,3239,4018,23,32,410,2,0,3,0.49,7.4,0.23,0,2.5,31.5,0.15,0.2,0.094,0.57,238.7,0,0.0%,2,15.4%,9,69.2%,0,0,0,0.0%,0.0%,0.0%,2019,4,137
Chigoziem Okonkwo|2022,Chigoziem Okonkwo,TEN,TEN|2022,2022,84.0,29,6.0,31,2.6,22,1,14,87.5%,320,22.9,37.8%,161,35.7%,42,4,6,29,4,408,313,227,540,2,19,0,0,7,3,1,11.5,3.0,2.1,29.1,7.5,16.2,38.6,0.14,1.4,0.5,0.26,2.50,1.94,11.5%,69.0%,9.5%,66.7%,14.1,204.0,1.09,11.2%,7.5,2.97,6.9%,14.8%,25.10%,1.30,18.1,118.6,81.9,7.1%,6.47,2.96,846,376,394,1795,13,410,365,2661,2773,14,32,410,2,0,9,0.48,14.9,0.47,1,2.3,29.3,0.14,0.6,28.1%,1.06,-,1,7.1%,3,21.4%,8,57.1%,0,0,0,0.0%,0.0%,0.0%,2022,4,143
